t,veff,vtree
-0.2,56797226.1699655,22058479.1324285
-0.192964824120603,18117205.6342666,-13589163.7389499
-0.185929648241206,-18563674.8337682,-47432681.8401757
-0.178894472361809,-53298069.3739168,-79516106.1861013
-0.171859296482412,-86138044.477426,-109883017.313754
-0.164824120603015,-117135097.340337,-138576545.282341
-0.157788944723618,-146340194.760271,-165639369.673243
-0.150753768844221,-173803893.633923,-191113719.59002
-0.143718592964824,-199576883.762886,-215041373.658409
-0.136683417085427,-223707349.989911,-237463660.026321
-0.12964824120603,-246242431.941123,-258421456.363847
-0.122613065326633,-267229290.679823,-277955189.863254
-0.115577889447236,-286714659.127289,-296104837.238985
-0.108542713567839,-304744765.061447,-312909924.72766
-0.101507537688442,-321365304.439888,-328409528.088077
-0.0944723618090453,-336621431.399336,-342642272.60121
-0.0874371859296483,-350557756.278843,-355646333.070211
-0.0804020100502513,-363218348.821134,-367459433.820406
-0.0733668341708543,-374646745.777852,-378118848.699301
-0.0663316582914573,-384885963.257468,-387661401.076577
-0.0592964824120603,-393978515.149405,-396123463.844094
-0.0522613065326633,-401966440.366318,-403540959.415885
-0.0452261306532664,-408891344.400658,-409949359.728164
-0.0381909547738694,-414794468.324511,-415383686.23932
-0.0311557788944724,-419716841.866844,-419878509.929918
-0.0241206030150754,-423699675.835274,-423467951.302702
-0.0170854271356784,-426781450.979945,-426185680.382591
-0.0100502512562814,-429000645.14775,-428064916.716682
-0.00301507537688445,-430396965.151245,-429138429.374249
0.00402010050251253,-431013548.455524,-429438536.946741
0.0110552763819095,-430895710.129609,-428997107.547785
0.0180904522613065,-430067964.785648,-427845558.813187
0.0251256281407035,-428555878.249316,-426014857.900926
0.0321608040201005,-426387104.746562,-423535521.491161
0.0391959798994975,-423590386.645503,-420437615.786226
0.0462311557788944,-420194953.052714,-416750756.510634
0.0532663316582914,-416230175.70549,-412504108.911071
0.0603015075376884,-411725367.15739,-407726387.756404
0.0673366834170854,-406709655.903938,-402445857.337674
0.0743718592964824,-401211904.9632,-396690331.468101
0.0814070351758794,-395260656.415852,-390487173.483081
0.0884422110552763,-388884092.331931,-383863296.240186
0.0954773869346733,-382110006.591679,-376845162.119166
0.10251256281407,-374965784.319898,-369458783.021948
0.109547738693467,-367478386.92073,-361729720.372634
0.116582914572864,-359674341.472022,-353683085.117505
0.123618090452261,-351579733.747014,-345343537.725019
0.130653266331658,-343220204.505327,-336735288.185808
