mu,VN,VCB
246             ,-518402764.345967,-520112877.12351
244.020202020202,-514709121.452376,-519856618.460276
242.040404040404,-510870452.608141,-519619524.116629
240.060606060606,-507021223.559346,-519388281.673735
238.080808080808,-503408889.839875,-519156197.818737
236.10101010101 ,-499750611.402427,-518922777.320718
234.121212121212,-496005811.725536,-518688667.535001
232.141414141414,-492271680.896383,-518454193.104905
230.161616161616,-488624344.727546,-518219595.303945
228.181818181818,-485247177.881579,-517985029.065122
226.20202020202 ,-481770766.119737,-517750569.153433
224.222222222222,-479165897.850691,-517516222.274048
222.242424242424,-476215999.32975 ,-517281941.962761
220.262626262626,-473458318.111385,-517047643.724946
218.282828282828,-471318073.95481 ,-516813218.725198
216.30303030303 ,-469550696.459029,-516578545.126581
214.323232323232,-467854030.894824,-516343496.80057
212.343434343434,-466313295.670117,-516107949.539743
210.363636363636,-464903339.869951,-515871785.12811
208.383838383838,-463463813.890771,-515634893.70715
206.40404040404 ,-453321130.889584,-515397174.869824
204.424242424242,-452072523.387323,-515158537.861393
202.444444444444,-450847556.163637,-514918901.193909
200.464646464646,-449637880.288627,-514678191.908353
198.484848484848,-448436631.559702,-514436344.653735
196.505050505051,-447238242.06345 ,-514193300.699737
194.525252525253,-446038253.138044,-513949006.958747
192.545454545455,-444833140.034696,-513703415.063256
190.565656565657,-443620153.447665,-513456480.523488
188.585858585859,-442397179.864645,-513208161.975901
186.606060606061,-441162620.77721 ,-512958420.523921
184.626262626263,-439915289.73369 ,-512707219.166748
182.646464646465,-438654325.696937,-512454522.308889
180.666666666667,-437379120.974896,-512200295.341653
178.686868686869,-436089261.992986,-511944504.28747
176.707070707071,-434784481.314245,-511687115.498114
174.727272727273,-433464619.625814,-511428095.398582
172.747474747475,-432129597.32086 ,-511167410.269162
170.767676767677,-430779403.037223,-510905026.059098
168.787878787879,-429414072.785319,-510640908.226112
166.808080808081,-428033547.74779 ,-510375021.596833
164.828282828283,-426637801.262171,-510107330.243931
162.848484848485,-425226813.762877,-509837797.376345
160.868686868687,-423800559.399269,-509566385.239615
158.888888888889,-422358999.91084 ,-509293055.023722
156.909090909091,-420902080.92877 ,-509017766.776315
154.929292929293,-419429729.64974 ,-508740479.319482
152.949494949495,-417941853.403303,-508461150.168536
150.969696969697,-416438338.823015,-508179735.451494
148.989898989899,-414919051.423315,-507896189.828109
147.010101010101,-413383835.440217,-507610466.407478
145.030303030303,-411832513.832199,-507322516.663356
143.050505050505,-410264888.365581,-507032290.346383
141.070707070707,-408680739.729198,-506739735.39252
139.090909090909,-407079827.638621,-506444797.827029
137.111111111111,-405461890.901529,-506147421.663363
135.131313131313,-403826647.424271,-505847548.796379
133.151515151515,-402173794.14571 ,-505545118.889284
131.171717171717,-400503006.888802,-505240069.253778
129.191919191919,-398813940.123302,-504932334.722878
127.212121212121,-397106226.63493 ,-504621847.515996
125.232323232323,-395379477.097546,-504308537.095994
123.252525252525,-393633279.545411,-503992330.018215
121.272727272727,-391867198.742824,-503673149.772116
119.292929292929,-390080775.4482  ,-503350916.617445
117.313131313131,-388273525.569269,-503025547.420031
115.333333333333,-386444939.205445,-502696955.501096
113.353535353535,-384594479.572626,-502365050.545766
111.373737373737,-382721581.804827,-502029738.829499
109.393939393939,-380825651.626014,-501690924.105959
107.414141414141,-378906063.884385,-501348499.726182
105.434343434343,-376962160.94014 ,-501002355.522373
103.454545454545,-374993250.896421,-500652374.107022
101.474747474747,-372998605.661663,-500298432.934308
99.4949494949495,-370977458.829972,-499940404.454325
97.5151515151515,-368929003.364397,-499578156.290065
95.5353535353535,-366852389.066048,-499211543.572167
93.5555555555555,-364746719.809861,-498840414.076377
91.5757575757576,-362611050.525455,-498464608.203252
89.5959595959596,-360444383.898968,-498083957.594281
87.6161616161616,-358245666.768832,-497698284.247309
85.6363636363636,-356013786.185337,-497307399.64047
83.6565656565656,-353747565.10029 ,-496911103.797884
81.6767676767677,-351445757.649298,-496509184.26901
79.6969696969697,-349107043.984986,-496101415.001592
77.7171717171717,-346730024.614992,-495687555.089259
75.7373737373737,-344313214.193736,-495267347.373495
73.7575757575758,-341855034.711942,-494840516.877054
71.7777777777778,-339353808.022774,-494406769.042292
69.7979797979798,-336807747.638468,-493965787.743247
67.8181818181818,-334214949.726924,-493517233.034522
65.8383838383838,-331573383.234446,-493060738.592926
63.8585858585859,-328880879.059608,-492595908.798974
61.8787878787879,-326135118.205595,-492122315.394386
59.8989898989899,-323333618.846476,-491639493.638021
57.9191919191919,-320473722.260117,-491146937.865444
55.9393939393939,-317552577.61213 ,-490644096.335532
53.959595959596 ,-314567125.62919 ,-490130365.219723
51.979797979798 ,-311514081.288794,-489605081.553819
50              ,-308389915.795109,-489067514.925953
